Title,Body,Url,Category
Imikino yose ya UEFA Champions League na Europa League yasubitswe kugeza igihe kitazwi,"Imikino yose ya UEFA Champions League na Europa League yasubitwe kugeza igihe Impuzamashyirahamwe y’Umupira w’Amaguru i Burayi (UEFA) izafatira ikindi cyemezo kubera icyorezo cya Coronavirus.
Imikino yose ya UEFA Champions League na Europa League yasubitwe kugeza igihe Impuzamashyirahamwe y’Umupira w’Amaguru i Burayi (UEFA) izafatira ikindi cyemezo kubera icyorezo cya Coronavirus.
Aya marushanwa yombi yari ageze muri 1/8 ubwo yasubikwaga mu kwezi gushize mbere y’uko hakinwa imwe mu mikino yo kwishyura.
Inama yahuje abanyamuryango ba UEFA kuri uyu wa Gatatu tariki ya 1 Mata 2020, hifashishijwe ikoranabuhanga ry’amashusho, yanzuye ko n’imikino y’ibihugu yagombaga kuba muri Kamena, na yo yasubitswe nyuma y’uko Igikombe cy’u Burayi (Euro 2020) kizaba mu 2021.
Umukino wa nyuma wa Champions League n’uwa Europa League, yari iteganyijwe mu kwezi gutaha kwa Gicurasi, tariki ya 30 n’iya 27, yombi yamaze kwimurwa.
Umuyobozi mukuru wa UEFA, Aleksander Čeferin, aherutse gutangariza Le Repubblica yo mu Butaliyani ko gahunda ziri kurebwa ari ukuba imikino yasubukurwa muri Gicurasi hagati, muri Kamena cyangwa mu mpera za Kamena.
Yavuze ko kandi no kuba imikino isigaye yakinirwa mu muhezo, ari ubundi buryo bushobora gutekerezwaho.
RB Leipzig, Atalanta, Atlético Madrid na Paris Saint-Germain ni yo makipe yamaze kubona itike ya ¼ cya UEFA Champions League mu gihe hasigaye kuba imikino yo kwishyura ya 1/8 hagati ya Manchester City na Real Madrid, Juventus na Lyon, FC Barcelona na Napoli ndetse na Bayern Munich na Chelsea.
Muri Europa League, hakinwe imikino itandatu ibanza ya 1/8 mu gihe indi ibiri yasubitswe kubera Coronavirus.
",https://m.igihe.com/imikino/football/article/imikino-yose-ya-uefa-champions-league-na-europa-league-yasubitswe-kugeza-igihe,Sport
 Namaze iminota 25 ntashobora guhumeka - Ubuhamya bukomeye bwa Pepe Reina wakize Coronavirus,"Umunyezamu wa Aston Villa yo mu cyiciro cya mbere mu Bwongereza, Pepe Reina, yavuze ko ubwo yari arwaye Coronavirus yamaze iminota 25 adashobora guhumeka, ku buryo ari byo bihe bibi yagize mu buzima bwe.
Umunyezamu wa Aston Villa yo mu cyiciro cya mbere mu Bwongereza, Pepe Reina, yavuze ko ubwo yari arwaye Coronavirus yamaze iminota 25 adashobora guhumeka, ku buryo ari byo bihe bibi yagize mu buzima bwe.
Pepe Reina w’imyaka 37 - intizanyo ya Milan AC muri Aston Villa - yabigarutseho mu kiganiro yagiranye na Corriere dello Sport nyuma yo gukira iki cyorezo cyibasiye Isi, cyamufashe mu byumweru bibiri bishize.
Ati “Ubu nibwo numva ndi gukira Coronavirus. Nari mfite umunaniro nyuma yo kubona ibimenyetso bya mbere bya virusi. Umuriro, inkorora yumye n’umutwe udakira. Numvaga buri gihe naniwe.”
“Ibihe bikomeye nagize ni ubwo numvise nta mwuka uhari, ntashobora guhumeka, namaze iminota 25 nta mwuka: yari iminota y’ubwoba itagira iherezo, byasaga n’aho umuhogo wanjye ufunze. Nibyo bihe bibi nagize mu buzima bwanjye. Byatumye mara iminsi itandatu cyangwa umunani ya mbere mu nzu.”
Reina ni umwe mu banyuze mu bihe bishaririye kubera Coronavirus, indwara ikomeje gufata no kwica abantu benshi muri iki gihe.
Pepe Reina wabaye umunyezamu muri Liverpool hagati ya 2005 na 2014, yavuze ko nta kibazo afite muri ibi bihe ari iwe, kuko aba ari kumwe n’umufasha we, Yolanda, abana babo batanu n’abandi babiri bo mu muryango wabo.
Mu gihe Premier League yahagaritswe kugera tariki ya 30 Mata 2020 kubera Coronavirus, Reina avuga ko abafata ibyemezo bari baratinze kuyihagarika, kuko iki cyorezo atari icyo gukinisha.
",https://m.igihe.com/imikino/football/article/namaze-iminota-25-ntashobora-guhumeka-ubuhamya-bukomeye-bwa-pepe-reina-wakize,Sport
Sadio Mané yavuze ku rukundo avugwamo n’Umunyarwandakazi Kate Bashabe,"Kuva muri Gicurasi 2019 nibwo hatangiye kuvugwa ko rutahizamu w’ikipe ya Liverpool, Umunya-Sénégal, Sadio Mané, afitanye umubano wihariye n’Umunyarwandakazi w’umunyamideli Kate Bashabe, ahanini bitangijwe n’itangazamakuru ryo muri Sénégal.
Kuva muri Gicurasi 2019 nibwo hatangiye kuvugwa ko rutahizamu w’ikipe ya Liverpool, Umunya-Sénégal, Sadio Mané, afitanye umubano wihariye n’Umunyarwandakazi w’umunyamideli Kate Bashabe, ahanini bitangijwe n’itangazamakuru ryo muri Sénégal.
Muri Kamena 2019, Urubuga rwa Internet rwo muri Sénégal, Jotay, rwatangaje ko bamwe mu bakunzi ba Sadio Mané muri icyo gihugu, bacitsemo ibice bibiri, buri ruhande rufite uwo rushyigikiye hagati yo kuba uyu mukinnyi yakundana na Kate Bashabe cyangwa umukobwa w’Umunya-Tunisie, witwa Melissa Reddy, bibaza igihugu gifite abakobwa beza hagati ya Sénégal n’u Rwanda.
Uwitwa Commandos Baye yabwiye uru rubuga ko nubwo Sénégal ari igihugu cye, atewe ishema no kwitwa Umunyarwanda bitewe n’ubwiza bw’Abanyarwandakazi.
Icyasembuye ibiganiro bya benshi muri Sénégal ni uburyo mu Ukwakira 2019, uyu mukinnyi wa Liverpool yasangije abamukurikira indirimbo “Slowly” y’umuhanzi w’Umunyarwanda Meddy, iherekezwa n’amagombo ye agira ati “Ese mwizera mu rukundo?”
Muri uko kwezi, Kate Bashabe yagaragaye mu Mujyi wa Liverpool aho yari mu maduka acuruza imyenda ya Liverpool agiye kugura umwenda yagombaga kurebana umukino wa Liverpool na Norwich, aza no kugaragara yifata amashusho menshi ari mu myanya y’icyubahiro muri Stade y’iyi kipe.
Mu mpera z’umwaka ushize kandi, mu Ukuboza, Kate Bashabe yagiye i Doha ku mukino Liverpool yatwariyemo igikombe cy’Isi cy’amakipe.
Ibi byose byatumye abakunzi ba Sadio Mané bahitamo kwimara amatsiko, bamubaza ku mubano yaba afitanye n’uyu Munyarwandakazi mu kiganiro yagiranye nabo ku rubuga rwa Instagram ku wa Mbere tariki ya 30 Werurwe.
Uyu munya-Sénégal wari kumwe na mwene wabo Mbaye Diagne, yavuze ko nta mubano yigeze agirana na Kate Bashabe, ikintu cyanatumye Diagne akubita agatwenge.
Bashabe Catherine, wamamaye nka Kate Bashabe, ni umwe mu bashabitsi bakiri bato b’abahanga mu guhanga imideli, afite n’iduka ricuruza imyenda mu mujyi wa Kigali.
Mu Ukwakira 2019, Bashabe na we yahakanye iby’urukundo ruvugwa hagati ye na Sadio Mané ndetse avugwa ko ajya mu Bwongereza muri gahunda ze zihariye zidafite aho zihuriye n’uyu mukinnyi ukomoka muri Sénégal.
Sadio Mane ukinira ikipe ya Liverpool n’ikipe y’igihugu ya Sénégal, ni we watowe nk’umukinnyi w’umwaka wa 2019 muri Afurika, igihembo yahawe muri Mutarama uyu mwaka mu gihe kandi ari no mu bahabwa amahirwe yo kwegukana igihembo cy’umukinnyi w’umwaka wa shampiyona y’u Bwongereza niramuka ishoboye kurangira.
Uyu mukinnyi wavukiye i Casamance mu Majyepfo ya Sénégal mu 1992, iby’urukundo rwe akunda kubigira ibanga mu gihe ikinyamakuru Celebs Couples kivuga ko yigeze gukundana n’umukobwa umwe, umunya-Tunisie Melissa Reddy bari kumwe mu 2018, ariko ubu akaba nta mukunzi afite.
Sadio Mané yatangiriye umupira we nk’uwabigize umwuga muri Metz yo mu Bufaransa mu 2011, mu mwaka wakurikiyeho yerekeza muri Red Bull Salzburg yakiniye kugeza mu 2014, aho yaguzwe na Southampton na yo imugurisha muri Liverpool mu 2016.
Sadio Mané aheruka i Kigali muri Gicurasi 2016 ubwo Sénégal yatsindaga Amavubi ibitego 2-0 mu mukino wa gicuti wabereye kuri Stade Amahoro.
",https://m.igihe.com/imikino/football/article/sadio-mane-yavuze-ku-rukundo-avugwamo-n-umunyarwandakazi-kate-bashabe,Sport
"""Penya Barcelonista Kigali"" yifatanyije n’andi matsinda y’abafana ba FC Barcelone mu kurwanya Coronavirus","Itsinda ry’abafana ba FC Barcelone mu Rwanda “Penya Barcelonista Kigali” ryifatanyije n’andi ku Isi mu gushishikariza abatuye ibihugu abarizwamo kurwanya icyorezo cya Coronavirus cyibasiye Isi.
Itsinda ry’abafana ba FC Barcelone mu Rwanda “Penya Barcelonista Kigali” ryifatanyije n’andi ku Isi mu gushishikariza abatuye ibihugu abarizwamo kurwanya icyorezo cya Coronavirus cyibasiye Isi.
Abayobozi b’amatsinda y’abafana ba FC Barcelone batandukanye ku Isi, batanga ubutumwa binyuze mu mashusho abumbiye hamwe, bushishikariza abantu kuguma mu rugo muri ibi bihe Isi yose yugarijwe na Coronavirus.
Penya Barcelonista Kigali ni itsinda ry’abafana ba FC Barcelone mu Rwanda, ryemewe ku mugaragaro n’iyi kipe yo muri Espagne tariki 16 Ukuboza 2019.
Rigizwe n’abanyamuryango (penyista) bagera kuri 300, ndetse ryahindutse umuryango ukora ibikorwa by’urukundo bitandukanye, abawugize baremera abatishoboye batandukanye, bikaba bijyanye n’umurongo FC Barcelone ifite wo gufasha abana ibinyujije muri Unicef.
Uwashinze iri itsinda akaba n’umuyobozi wa Penya Barcelonista Kigali, Nkusi Edmond Marie Nkaba, yabwiye IGIHE ko bari bafite gahunda yo kwishimira ko ryamaze kwemerwa n‘iyi kipe yo muri Espagne, mu muhango wari kuba tariki ya 25 Mata, ariko iyi gahunda ikaba yarasubitswe kubera Coronavirus.
Ati “Tukimara kuba itsinda ryemewe, twateguye igikorwa cyo kwizihiza iryo shema ndetse tunatumira abantu benshi mu nzego zitandukanye harimo nabo muri FC Barcelone harimo Perezida w’ikipe [Bartomeu], Visi Perezida, Perezida wa La Masia, Umuyobozi wa Siporo (Eric Abidal) n’abandi. Intego yari uguhuza inzego zitandukanye z’igihugu cyacu ndetse n’iza FC Barcelone.”
Nkusi Edmond yavuze ko ubutumire batanze bwari bumaze kwemerwa n’abantu barindwi barimo na Perezida w’abafana ba FC Barcelone ku rwego rw’Isi ndetse na Senateri Josep Maldonado uhagarariye umuryango wa ESI Esport Solidari internacional, utegamiye kuri leta, ukaba utera inkunga abatishoboye ariko binyuze muri siporo ndetse akaba yarabaye umusenateri mu Nteko Ishinga Amategeko ya Espagne n’iy’Ubumwe bw’u Burayi (EU).
Kuba icyorezo cya Coronavirus cyarahagaritse ingendo zose z’indenge mu bihugu byinshi ku Isi n’u Rwanda rurimo, byatumye icyo gikorwa cyari giteganyijwe muri uku kwezi gisubikwa kugeza igihe kitazwi, ahubwo hashyirwaho gahunda yahuriwemo n’abayobozi batandukanye b’amatsinda y’abafana ba FC Barcelone mu bihugu bitandukanye, bakangurira abantu kwirinda icyo cyorezo.
Ati” Twahise dufatanya na bagenzi bacu bo mu bindi bihugu dukora ubukangurambaga bwo kwirinda Coronavirus binyujijwe mu mashusho yahuriwemo n’abayobozi bakuru b’amatsinda y’abafana bo mu bihugu bitandukanye byo ku migabane igize Isi.”
Umunyamuryango wemewe wa Penya Barcelonista Kigali aba azwi na FC Barcelone ndetse mu kwezi gutaha buri wese azahabwa ikarita imuranga yatanzwe n’iyi kipe yo muri Espagne.
Izi karita zizajya zifasha aba banyamuryango ba Penya Barcelonista Kigali, kubona igabanyirizwa ryo kugura amatike ku mikino ya FC Barcelone, mu maduka yayo bagura imyenda ndetse no gutumirwa mu nteko rusange z’abafana ba FC Barcelone ziba buri mwaka.
",https://m.igihe.com/imikino/football/article/penya-barcelonista-kigali-yifatanyije-n-andi-matsinda-y-abafana-ba-fc-barcelone,Sport
Pape Diouf wabaye Perezida w’Ikipe ya Marseille yapfuye azize Coronavirus,"Umunya- Sénégal, Pape Diouf, wabaye Perezida w’Ikipe ya Marseille yo mu Bufaransa yapfuye afite imyaka 68 kuri uyu wa Kabiri azize icyorezo cya Coronavirus.
Umunya- Sénégal, Pape Diouf, wabaye Perezida w’Ikipe ya Marseille yo mu Bufaransa yapfuye afite imyaka 68 kuri uyu wa Kabiri azize icyorezo cya Coronavirus.
Diouf yari ari kuvurirwa mu bitaro biri muri Sénégal aho akomoka nyuma y’uko afashwe n’iki cyorezo. Itangazo ryashyizwe hanze n’iyi kipe yabereye umuyobozi rivuga ko “Pape azahora mu mitima yacu iteka” nk’umwe mu bantu bayanditsemo amateka.
Perezida wa Sénégal, Macky Sall, nawe yihanganishije abakunzi b’umupira w’amaguru, umuryango wa nyakwigendera ndetse n’abaturage b’igihugu cye muri rusange ku bwo kubura uyu mugabo w’agaciro.
Sall yavuze ko yakurikiranye ubuzima bwa Diouf kuva ubwo yashyirwaga mu bitaro byitwa “Hôpital de Fann” agifatwa n’iyi ndwara.
Diouf niwe muntu wa mbere w’umwirabura wanditse amateka yo kuba yarayoboye ikipe yo mu cyiciro cya mbere ku mugabane w’u Burayi ubwo yajyaga kuri uyu mwanya mu 2005.
Mbere yaho yari yarakoze nk’umunyamakuru ndetse nk’umuntu ushinzwe gushakira abakinnyi amakipe aho yahagarariye abarimo Marcel Desailly, Basile Boli, William Gallas, Samir Nasri na Didier Drogba.
",https://m.igihe.com/imikino/football/article/pape-diouf-wabaye-perezida-w-ikipe-ya-marseille-yapfuye-azize-coronavirus,Sport
Rayon Sports yagobotse abakinnyi bayo mu bihe bya Coronavirus,"Muri ibi bihe abantu bose basabwe kuguma mu ngo zabo kubera icyorezo cya Coronavirus, Rayon Sports yagobotse abakinnyi bayo, buri umwe ahabwa ibihumbi 50 Frw yo kwifashisha.
Muri ibi bihe abantu bose basabwe kuguma mu ngo zabo kubera icyorezo cya Coronavirus, Rayon Sports yagobotse abakinnyi bayo, buri umwe ahabwa ibihumbi 50 Frw yo kwifashisha.
Kuva tariki ya 15 Werurwe, ibikorwa byose bihuza abantu benshi birimo n’imikino, byarahagaritswe mu Rwanda mu gihe abantu bose basabwe kuguma mu ngo zabo kuva tariki ya 21 Werurwe 2020 mu kwirinda ikwirakwira ry’ubwandu bwa Coronavirus.
Bitandukanye n’andi makipe 13 muri 16 akina Shampiyona y’icyiciro cya mbere, afashwa na Leta, 90% by’amafaranga Rayon Sports ikoresha ku kwezi, aturuka mu bafana bayo mu gihe 10% ari atangwa n’abafatanyabikorwa bayo nk’uko biheruka gutangazwa n’ubuyobozi.
Abafana bayo bamaze iminsi batanga inkunga yo gufasha ikipe, hifashishijwe ikoranabuhanga rya telefoni kuri *610# ndetse kuva icyo gikorwa gitangiye tariki ya 19 Werurwe 2020, hamaze gukusanywa agera kuri miliyoni 6 Frw.
Nubwo Rayon Sports yihaye intego yo kugeza kuri miliyoni 20 Frw. IGIHE yamenye ko abakinnyi batangiye kugezwaho iyi nkunga ndetse buri mukinnyi yahawe ibihumbi 50 Frw.
Umuvugizi wa Rayon Sports, Nkurunziza Jean Paul, yabwiye IGIHE ko amafaranga bahaye abakinnyi ari yo kugira ngo bifashishe muri ibi bihe bari mu ngo zabo.
Ati “Muri ibi bihe abakinnyi tubitaho bisanzwe, tukabaha amafaranga bifashisha. Uyu munsi bashobora guhabwa amafaranga, ejo bakabona andi. Ni amafaranga ari kuva mu nkunga y’abafana, bitandukanye n’imishahara cyangwa andi. Uko abafana bazakomeza kwitanga, abakinnyi bazajya bayahabwa.”
Rayon Sports yari isanzwe yinjiza impuzandengo ya miliyoni 15 Frw ku kwezi, zirimo miliyoni 10 Frw zavuye ku kibuga n’izindi miliyoni 5 Frw zatanzwe n’abafana.
Kuva imikino ihagaze hagati muri uku kwezi ndetse umukino iheruka guhuramo na Gicumbi FC ukaba warabaye mu muhezo, byatumye ubuyobozi bwayo butangira gushaka ibindi bisubizo birimo no gushishikariza abafana kuyiba hafi.
Rayon Sports imaze iminsi kandi nta mafaranga ihabwa na SKOL, aho yishyuraga umwenda wa miliyoni 33 Frw yari yaragurijwe, ariko ikaba izahabwa ikindi gice kingana na miliyoni 33 Frw n’uyu muterankunga wayo mukuru mbere y’uko umwaka w’imikino urangira.
Umuyobozi wa Rayon Sports, Munyakazi Sadate, aherutse gutangaza ko ikoresha hafi miliyoni 32 Frw ku kwezi mu gihe kuri ubu hari gushakwa uburyo abakinnyi bahembwa ukwezi kwa Gashyantare.
Indi nkuru wasoma: Mu Rwanda birashoboka kugabanyiriza abakinnyi imishahara kubera Coronavirus?- Icyo abayobozi b’amakipe babivugaho.
",https://m.igihe.com/imikino/football/article/rayon-sports-yagobotse-abakinnyi-bayo-mu-bihe-bya-coronavirus,Sport
Abakinnyi ba FC Barcelone bemeye kugabanyirizwa 70% by’umushahara,"Abakinnyi bose ba FC Barcelone bemeye kugabanyirizwa 70% by’umushahara muri ibi bihe Isi yugarijwe na Coronavirus ndetse bazatanga ubundi bufasha kugira ngo abandi bakozi b’ikipe bafite imirimo ihoraho bahembwe.
Abakinnyi bose ba FC Barcelone bemeye kugabanyirizwa 70% by’umushahara muri ibi bihe Isi yugarijwe na Coronavirus ndetse bazatanga ubundi bufasha kugira ngo abandi bakozi b’ikipe bafite imirimo ihoraho bahembwe.
Kapiteni wa FC Barcelone, Lionel Messi, yatangaje ko impamvu we na bagenzi be batinze kwemera uyu mwanzuro, ari uko bari bagisuzuma uburyo bizakorwamo, bagafasha ikipe yabo.
Ati “Mbere yo gukomeza, turashaka kubisobanura neza ko buri gihe twari dufite ubushake bwo kugabanya imishahara yacu kubera ko natwe tubizi ko turi mu bihe bidasanzwe. Twe nk’abakinnyi, turi hano buri gihe kugira ngo dufashe ikipe igihe ibidusabye.”
“Niba kugeza magingo aya ntacyo twavuze, ni uko twari tukiga uburyo twafasha ikipe no kureba abagizwe ho ingaruka cyane n’ibihe turimo. Ku ruhande rwacu, igihe cyageze, tuzagabanyirizwa 70% by’umushahara muri ibi bihe. Tuzafasha kandi ikipe kugira ngo abandi bakozi bahembwe 100% by’imishahara yabo.”
Amakuru yari amaze iminsi atangazwa n’ibinyamakuru byo muri Espagne, yavugaga ko abakinnyi bacitsemo ibice bitatu bitewe no kutumvikana kuri icyo cyemezo cyo kugabanyirizwa imishahara.
FC Barcelone yiyongereye ku yandi makipe akomeye i Burayi, yafashe icyemezo gikomeye muri ibi bihe Isi yugarijwe na Coronavirus. Andi makipe ya Barcelone arimo iya Basketball, na yo azagabanyirizwa imishahara.
Abakinnyi ba Juventus yo mu Butaliyani n’umutoza wayo, Maurizio Sarri, bemeye guhara imishahara y’amezi ane uhereye muri Werurwe 2020, kugira ngo bafashe ikipe yabo.
Abakinnyi ba Bayern Munich bagabanyirijwe 20% by’imishahara mu gihe Borussia Dortmund izahemba abakinnyi bayo 50%.
",https://m.igihe.com/imikino/football/article/abakinnyi-ba-fc-barcelone-bemeye-kugabanyirizwa-70-by-umushahara,Sport
Amatariki mashya y’imikino Olempike ya Tokyo 2020 yatangajwe,"Komite Olempike na Paralempike Mpuzamahanga ku bufatanye n’abashinzwe gutegura imikino Olempike ya Tokyo 2020 batangaje ko iyi mikino yimuriwe umwaka utaha, izaba hagati ya tariki ya 23 Nyakanga n’iya 8 Kanama 2021.
Komite Olempike na Paralempike Mpuzamahanga ku bufatanye n’abashinzwe gutegura imikino Olempike ya Tokyo 2020 batangaje ko iyi mikino yimuriwe umwaka utaha, izaba hagati ya tariki ya 23 Nyakanga n’iya 8 Kanama 2021.
Iyi mikino yasubitswe mu cyumweru gishize, yagomba kuba hagati ya tariki ya 24 Nyakanga n’iya 9 Kanama 2020, ariko yigizwa inyuma kubera icyorezo cya Coronavirus.
Hemejwe ko kandi imikino Paralempike ya 2020 yagombaga gutangira tariki ya 25 Kanama, izakinwa kuva tariki ya 24 Kanama kugeza ku ya 5 Nzeri 2020.
Izi nzego zabitangaje kuri uyu wa Mbere tariki ya 30 Werurwe hifashishijwe ikiganiro kuri telefoni, cyahuje Perezida wa IOC, Thomas Bach, Umuyobozi wa Tokyo 2020 Mori Yoshirō, Guverineri w’Umujyi wa Tokyo, Koike Yuriko na Minisitiri w’imikino Olempike na Paralempike mu Buyapani, Hashimoto Seiko.
Hatangajwe ko 57% by’abari bamaze kubona ibihe bibemerera kwitabira iyi mikino bazabigumana mu gihe abandi 43% bazabikorera Coronavirus nigabanuka.
Uyu akaba ari umwe mu myanzuro wafashwe hagendewe ko n’izina ry’imikino ritazahinduka, izakomeza kwitwa iya 2020.
Komite Olempike Mpuzamahanga yatangaje ko amatariki mashya yemejwe hagendewe ku kurengera ubuzima bw’abakinnyi no kuzirikana ububi bw’icyorezo cya Coronavirus.
Ni ku nshuro ya mbere imikino Olempike isubitswe mu gihe cy’amahoro.
Ahandi yasubitswe ni mu 1916, 1940 no mu 1944, hose kubera intambara z’Isi yose.
",https://m.igihe.com/imikino/article/amatariki-mashya-y-imikino-olempike-ya-tokyo-2020-yatangajwe,Sport
Isume ya Kobe Bryant yagurishijwe asaga miliyoni 31 Frw,"Isume Kobe Bryant yambaye ku bitugu bye ubwo yavugaga ijambo ryo gusezera Basketball nyuma y’umukino we wa nyuma muri NBA, yagurishijwe asaga ibihumbi $33 muri cyamunara yabaye ku Cyumweru tariki ya 29 Werurwe 2020.
Isume Kobe Bryant yambaye ku bitugu bye ubwo yavugaga ijambo ryo gusezera Basketball nyuma y’umukino we wa nyuma muri NBA, yagurishijwe asaga ibihumbi $33 muri cyamunara yabaye ku Cyumweru tariki ya 29 Werurwe 2020.
Iyo sume ni yo Kobe Bryant yifashishaga mu kwihanagura icyuya kuri uwo mukino ubwo yakiniraga bwa nyuma ikipe ya Los Angeles Lakers.
Ubwo yari amaze gusezera, asohoka mu kibuga, isume yasigaranywe n’umufana, igurishwa $8365 ( asaga miliyoni 7.8 Frw) mu 2016 mbere y’uko igurishwa muri cyamunara iheruka kubera kuri interineti.
Uwegukanye iyi sume, David Kohler, yayitanzeho ibihumbi $33,077 (ni ukuvuga asaga gato miliyoni 31.2 Frw). Uwayiguze yahawe kandi amatike abiri yakoreshejwe y’umukino Lakers yakinnye tariki ya 13 Mata 2016.
Muri uwo mukino Lakers yatsinzemo Utah Jazz amanota 101-96, Kobe Byrant yatsinzemo amanota 60.
Umuyobozi wa Iconic Auctions, Jeff Woolf yabwiye CNN ko uwaguze isume ya Kobe Bryant ashaka kubika ibintu byinshi bifite aho bihuriye na Los Angeles Lakers.
Ati “Ni umufana wihebeye Lakers. Afite gahunda y’igihe kirekire yo gukora inzu ndangamurage muri California y’amajyepfo.”
Kobe Bryant yapfuye mu mpera za Mutarama 2020 afite imyaka 41, aho yaguye mu mpanuka ya kajugujugu ari kumwe n’umukobwa we, Gianna.
Mu myaka 20 yakinnye muri NBA, muri LA Lakers, Bryant yafashije ikipe ye kwegukana ibikombe bitanu bya Shampiyona.
Yakinnye umukino w’intoranywa za NBA “All-Star” inshuro 18, aba umukinnyi mwiza w’umwaka “MVP” mu 2008 mu gihe kandi yafashije Leta Zunze Ubumwe za Amerika kwegukana umudali wa zahabu mu mikino Olempike ya 2008 yabereye i Beijing n’iya 2012 yabereye i Londres.
Izindi nkuru wasoma:
",https://m.igihe.com/imikino/basketball/article/isume-ya-kobe-bryant-yagurishijwe-asaga-miliyoni-31-frw,Sport
"Amakipe ya Premier League azashyirwa hamwe, imikino isigaye ibere hamwe mu muhezo","Abategura Shampiyona y’Icyiciro cya Mbere mu Bwongereza, Premier League, bafite gahunda zo gusubukura imikino mu mpeshyi, amakipe akazashyirwa hamwe mu mwiherero, aho imikino izajya ikinirwa mu muhezo, ikerekanwa kuri televiziyo.
Abategura Shampiyona y’Icyiciro cya Mbere mu Bwongereza, Premier League, bafite gahunda zo gusubukura imikino mu mpeshyi, amakipe akazashyirwa hamwe mu mwiherero, aho imikino izajya ikinirwa mu muhezo, ikerekanwa kuri televiziyo.
Premier League n’izindi shampiyona nyinshi ku Isi, zarahagaze kubera icyorezo cya Coronavirus cyibasiye Isi.
Iyi Shampiyona y’u Bwongereza yabaye ihagaritswe kugeza tariki ya 30 Mata, ariko nta cyizere cy’uko izasubukurwa icyo gihe bitewe n’ubwiyongere bw’ubwandu bwa Coronavirus bukomeje kugaragara muri icyo gihugu no ku Isi yose.
Imwe mu ngamba zafashwe na Premier League ni ugushaka uburyo imikino isigaye yakinwa muri Kamena na Nyakanga, ikabera muri Midlands na Londres, ariko nta bafana bahari.
Uburyo butekerezwaho bwatuma ibi bishoboka, ni ugufata amakipe yose akajyanwa muri hoteli zo muri ibyo bice azakiniramo, abakinnyi bakahamara igihe bari mu kato mbere y’uko batangira gukina.
The Independent yatangaje ko amakipe ari ku gitutu cyo kubahiriza amasezerano yo kwerekana imikino yasinye bityo nta yandi mahitamo ahari uretse gukina ndetse imikino 92 yose isigaye ikazerekanwa kuri televiziyo, buri munsi hakajya haba umukino.
Kugira ngo ibi bigerweho, amakipe n’abandi bayagize, bazashyirwa mu kato muri hoteli zitandukanye bakuwe mu miryango yabo nk’uko bigenda iyo hagiye kuba amarushanwa mpuzamahanga, aho bazajya bapimwa kenshi gashoboka.
Intego yabyo ni ukugira ngo hagabanywe ibyago byo kugira ngo hatagira uwandura Coronavirus, aho iramutse igaragaye kuri umwe muri abo bari mu mwiherero, bishobora kwica iyi gahunda yose.
Ibi ntibizakorwa gusa ku makipe, ahubwo bizaba no ku basifuzi, abanyamakuru n’abafata amashusho y’imikino mu gihe hari ibitaro Premier League izakodesha byihariye ku bakinnyi bashobora kugirira imvune zikomeye muri iyo mikino.
",https://m.igihe.com/imikino/football/article/amakipe-ya-premier-league-azashyirwa-hamwe-imikino-isigaye-ibere-hamwe-mu,Sport
